Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
78,Intel Core i7-6700HQ,1MB + 6MB,45,2600 ? 3500,4/8,54,7092,5419,20190,1.64,7.45,144,676,7.7,157.45,42
79,Intel Core i7-4810MQ,1MB + 6MB,47,2800 ? 3800,4/8,53.2,7049,5445,19147.5,1.67,7.02,148,647,9.93,146,38.25
80,Intel Core i7-4870HQ,1MB + 6MB,47,2500 ? 3700,4/8,53.1,6621.5,5300,19078.5,1.61,6.8,143,621,10.56,169.97,39.52
81,Intel Core i7-3920XM,1MB + 8MB,55,2900 ? 3800,4/8,52.8,6973,5078,19652.5,1.56,7.11,,,7.48,156.71,38
82,Intel Core i7-4800MQ,1MB + 6MB,47,2700 ? 3700,4/8,53.7,7265,5233,20089,1.63,7.21,142,663,7.72,160.11,41.5
83,Intel Core i7-2700K,1MB + 8MB,95,3500 ? 3900,4/8,49.6,6837,4967,19675,,7,,,7.15,147,37.5
84,Intel Core i7-4950HQ,1MB + 6MB,47,2400 ? 3600,4/8,37,,,,1.61,7.38,,,,,
85,Intel Core i7-4860HQ,1MB + 6MB,47,2400 ? 3600,4/8,2.9,,,,,6.9,,,,,
86,Intel Core i7-4720HQ,1MB + 6MB,47,2600 ? 3600,4/8,52.1,6930,5145,19580,1.57,7.03,138,642,7.33,152.35,37.8
87,Intel Core i7-3840QM,1MB + 8MB,45,2800 ? 3800,4/8,53.3,6998,5144.5,20135,1.59,7.08,,,7.39,157.79,38.17
88,Intel Core i7-4850HQ,1MB + 6MB,47,2300 ? 3500,4/8,49.4,,6640,22559,1.48,6.17,133,578,,,
89,Intel Core i7-4710HQ,1MB + 6MB,47,2500 ? 3500,4/8,51.4,6980.5,5008,19044,1.53,6.98,135,646,7.75,149.9,37.88
90,Intel Core i7-4710MQ,1MB + 6MB,47,2500 ? 3500,4/8,46.8,6830.5,4962.5,18961.5,1.54,6.98,135,645,,,
91,Intel Core i7-4770HQ,1MB + 6MB,47,2200 ? 3400,4/8,40.9,,,,1.47,6.87,132,635,,,
92,Intel Core i7-3820QM,1MB + 8MB,45,2700 ? 3700,4/8,52,6849,5008,19364,1.53,6.78,,,7.46,150.42,37.17
93,Intel Core i7-2600K,1MB + 8MB,95,3400 ? 3800,4/8,49.9,6669,4809,18608,1.51,6.76,129,613.5,10.5,145,36.5
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
95,Intel Core i5-7440HQ,1MB + 6MB,45,2800 ? 3800,4/4,60.5,,,,,,158,554,10.16,182,36
96,Intel Core i7-3740QM,1MB + 6MB,45,2700 ? 3700,4/8,52.3,6837,4951,19798,1.53,6.96,,,7.58,153.81,38.64
98,Intel Core i7-3720QM,1MB + 6MB,45,2600 ? 3600,4/8,49.8,6642,4821,18879,1.47,6.73,126,610,7.85,146.7,36.98
99,Intel Core i7-4700HQ,1MB + 6MB,47,2400 ? 3400,4/8,50.1,6758.5,4895,18609,1.5,6.93,132,637,8.09,141,34
100,Intel Core i7-4700MQ,1MB + 6MB,47,2400 ? 3400,4/8,50.9,6872,4934,19019,1.51,6.89,132,631,8.37,148,38.7
101,Intel Core i7-4760HQ,1MB + 6MB,47,2100 ? 3300,4/8,33.5,,,,1.46,6.53,,,,,
102,Intel Core i7-4722HQ,1MB + 6MB,37,2400 ? 3400,4/8,,,,,,,,,,,
103,Intel Core i7-7567U,512KB + 4MB,28,3500 ? 4000,2/4,,,,,,,,,,,
104,Intel Xeon E3-1226 v3,1MB + 8MB,84,3300 ? 3700,4/4,61.2,,5335,18972,,,145,534,9.8,,
105,Intel Core i5-4590,1MB + 6MB,84,3300 ? 3700,4/4,47.4,,5479,18998,1.63,5.92,146,530,,,
106,Intel Core i7-2960XM,1MB + 8MB,55,2700 ? 3700,4/8,39.9,6820,4928,18300,,6.33,,,,,
107,Intel Core i5-3570K,1MB + 6MB,77,3400 ? 3800,4/4,52.9,6561,5286,18325,1.61,6,,,9.69,168,33.6
108,Intel Core i5-6500,1MB + 6MB,65,3200 ? 3600,4/4,54.1,6653,5746,19577,1.74,6.35,146.5,541.5,10.6,174.5,36.1
109,Intel Core i7-7600U,512KB + 4MB,15,2800 ? 3900,2/4,49,4648,6253,12679,1.85,3.87,156,343,13.27,127.1,23.4
110,Intel Core i7-7660U,512KB + 4MB,15,2500 ? 4000,2/4,50.6,5226.5,6169.5,13808.5,1.87,4.47,158.5,403.5,12.9,136.5,25.3
111,Intel Core i7-4712HQ,1MB + 6MB,37,2300 ? 3300,4/8,39.7,,4445,13918,1.43,5.76,121.5,517.5,,,
112,Intel Core i7-4712MQ,1MB + 6MB,37,2300 ? 3300,4/8,49.1,,4816.5,17929,1.47,6.46,130,597,8.39,142,36
113,Intel Core i7-4750HQ,1MB + 6MB,47,2000 ? 3200,4/8,48.4,6436,4723,18026,1.42,6.55,123,612,8.72,137.94,35.04
114,Intel Core i7-3635QM,1MB + 6MB,45,2400 ? 3400,4/8,49,6492,4660,17865,1.39,6.44,,,8.93,138.04,35.44
115,Intel Core i7-3630QM,1MB + 6MB,45,2400 ? 3400,4/8,49,6392,4654,18091,1.41,6.41,,,8.42,136.89,35.27
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
116,Intel Core i5-3550,1MB + 6MB,77,3300 ? 3700,4/4,51.9,6405,5191,17762,1.56,5.81,,,9.98,163.8,32.7
117,Intel Core i7-4702HQ,1MB + 6MB,37,2200 ? 3200,4/8,41.9,5950,4585,16584,1.39,6.29,127,501,,,
118,Intel Core i7-4702MQ,1MB + 6MB,37,2200 ? 3200,4/8,47.5,6285,4656,17388,1.41,6.19,124,575,9.25,130.12,33.66
119,Intel Core i7-2860QM,1MB + 8MB,45,2500 ? 3600,4/8,45.9,6323,4576,16809.5,,5.88,,,7.8,131.7,32
