Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
421,Apple A9X,,,2260,2/2,,,,,,,,,,,
422,AMD A10-7300,4MB,19,1900 ? 3200,4/4,25.3,2518,1992,5192,0.67,1.8,58,158,23.79,62.05,11.93
423,AMD A8 Pro-7150B,4MB,19,1900 ? 3200,4/4,,,,,,,,,,,
424,Intel Pentium 4405Y,512KB + 2MB,6,1500,2/4,,,,,,,,,,,
430,Intel Core i5-4200Y,512KB + 3MB,12,1400 ? 1900,2/4,,,,,,,,,,,
431,Intel Pentium B970,512KB + 2MB,35,2300,2/2,33.4,2328,2954,5697,0.84,1.75,,,35.77,,
432,Intel Celeron 3765U,512KB + 2MB,15,1900,2/2,,,,,,,,,,,
433,Intel Pentium N4200,2MB,6,1100 ? 2500,4/4,24.6,2636,1671.5,5216.5,0.65,2.09,52.5,165,22.58,60,12.02
434,Intel Celeron 2950M,512KB + 2MB,37,2000,2/2,,,,,,,,,,,
435,AMD A8-7410,2MB,12,2200 ? 2500,4/4,24,2936,1917,4665,0.61,1.87,52,174,27,45.52,9.69
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
436,AMD A8-7100,4MB,19,1800 ? 3000,4/4,22.2,2225,1379,4134,0.55,1.76,44,133,33.23,55.95,11.05
437,Intel Core i3-4102E,512KB + 3MB,25,1600,2/4,,,,,,,,,,,
438,Intel Core i3-4030Y,512KB + 3MB,12,1600,2/4,,,,,,,,,,,
439,Qualcomm Snapdragon 835 (8998),,,2450,8/8,,,,,,,,,,,
440,Samsung Exynos 8895 Octa,,,2300,8/8,,,,,,,,,,,
441,Samsung Exynos 8890 Octa,,,2600,8/8,,,,,,,,,,,
442,HiSilicon Kirin 955,,,2500,8/8,,,,,,,,,,,
443,AMD A8-3550MX,4MB,45,2000 ? 2700,4/4,,,,,,,,,,,
445,AMD A4-5300,2MB,65,3400 ? 3600,2/2,26.3,2284,2734,4345,0.91,1.45,67,107,35.5,50,9.62
448,Intel Celeron 1020M,512KB + 2MB,35,2100,2/2,,,,,,,,,,,
450,Intel Pentium B960,512KB + 2MB,35,2200,2/2,28.3,2231,2851,5500,0.86,1.68,,,33.48,51.7,9.24
451,Intel Pentium 3805U,512KB + 2MB,15,1900,2/2,0.7,,,,,1.77,,,,,
456,Intel Core i3-4020Y,512KB + 3MB,12,1500,2/4,24.3,,1621,4749.5,0.65,1.59,60,152,35.31,52.2,9.6
457,Intel Core i3-4012Y,512KB + 3MB,12,1500,2/4,22.8,1375,2173,4967,0.67,1.38,60,150,41.53,35.66,6.13
460,AMD A8-6410,2MB,15,2000 ? 2400,4/4,24.5,2866,1886.5,5871.5,0.6,2.04,49,165,24.3,54.4,11.8
461,AMD A6-7310,2MB,12,2000 ? 2400,4/4,14.9,,1800.5,5074.5,0.58,1.99,44.5,139,,53.1,11.6
462,AMD A6-6310,2MB,15,1800 ? 2400,4/4,23.8,2730,1829,5612,0.57,1.94,47,157,26.64,52.2,11.1
463,Intel Celeron 3755U,512KB + 2MB,15,1700,2/2,,,,,,,,,,,
464,Intel Celeron 3215U,512KB + 2MB,15,1700,2/2,,,,,,,,,,,
469,Intel Pentium B950,512KB + 2MB,35,2100,2/2,26.4,2145,2730,5255,,1.63,,,34.3,50,8.9
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
473,AMD A8-3530MX,4MB,45,1900 ? 2600,4/4,,,,,,,,,,,
475,Intel Core i5-2537M,512KB + 3MB,17,1400 ? 2300,2/4,34,2400,2814,5903,0.9,1.67,,,24.9,,
481,AMD A8-3510MX,4MB,45,1800 ? 2500,4/4,12.4,,,6158,,,,,,,
482,Intel Pentium 2127U,512KB + 2MB,17,1900,2/2,26.9,2027,2625,5016,0.79,1.51,,,39.64,49.15,8.85
483,Intel Pentium B940,512KB + 2MB,35,2000,2/2,15.5,2034,2609.5,5066.5,,1.56,,,,,
484,Intel Celeron 1005M,512KB + 2MB,35,1900,2/2,,,,,,,,,,,
485,HiSilicon Kirin 950,,,2300,8/8,,,,,,,,,,,
486,Intel Celeron N3450,2MB,6,1100 ? 2200,4/4,22.8,2576,1415,3959,0.53,1.87,44.5,143,22.31,58.2,12
487,AMD A4-7210,2MB,12,1800 ? 2200,4/4,23.5,2681,1732,5593,0.56,1.95,46,157,26.94,51.3,10.9
488,AMD A6-3430MX,4MB,45,1700 ? 2400,4/4,,,,,,,,,,,
489,Intel Pentium 3558U,512KB + 2MB,15,1700,2/2,24.9,1926,2510,4852,0.74,1.45,67,129,46.24,48.9,9.08
490,AMD A6-9220,1MB,10,2500 ? 2900,2/2,25.4,2253,2432,3941,0.8,1.38,69,114,27.71,46.5,8.7
491,Intel Pentium 3556U,512KB + 2MB,15,1700,2/2,24.9,1939,2515,4854,0.75,1.43,65.5,125.5,46.23,49.2,9.1
492,Intel Pentium 2117U,512KB + 2MB,17,1800,2/2,26.9,1884.5,2364.5,4425,0.74,1.39,58,120,40.42,,
493,Intel Celeron 1000M,512KB + 2MB,35,1800,2/2,26,1923,2480,4757,0.74,1.46,,,41.63,47.23,8.49
494,Intel Celeron 1037U,512KB + 2MB,17,1800,2/2,26.1,1903,2500,4824,0.75,1.47,,,41.48,46.82,8.5
495,Intel Celeron 2981U,512KB + 2MB,15,1600,2/2,,,,,,,,,,,
496,Intel Celeron 2980U,512KB + 2MB,15,1600,2/2,,,,,,,,,,,
497,Apple A10 Fusion,,,2340,4/2,,,,,,,,,,,
501,AMD A8-3520M,4MB,35,1600 ? 2500,4/4,28.9,2483,1757,5676,0.51,2.01,,,22.43,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
502,AMD A6-9210,,10,2400 ? 2800,2/2,,,,,,,,,,,
503,AMD A10-4655M,4MB,25,2000 ? 2800,4/4,26.2,2160.5,1137,4530,0.52,1.65,,,40,,
504,AMD A8-4500M,4MB,35,1900 ? 2800,4/4,26.3,2438,1820.5,4872,0.71,1.71,,,31.45,58.39,10.84
505,AMD A8-4557M,4MB,35,1900 ? 2800,4/4,,,,,,,,,,,
508,AMD A6-3410MX,4MB,45,1600 ? 2300,4/4,29.9,2414,1707,5568,,2.02,,,22.15,,
509,AMD A8-3500M,4MB,35,1500 ? 2400,4/4,29.1,2255.5,1586,5170,,1.88,,,24.09,,
510,AMD A6-3420M,4MB,35,1500 ? 2400,4/4,25.7,2305,1673,5399,,1.95,,,23.63,59.68,11.27
516,AMD A8-5545M,4MB,19,1700 ? 2700,4/4,,,,,,,,,,,
517,AMD A6-3400M,4MB,35,1400 ? 2300,4/4,28.5,2135,1512,4922,,1.78,,,26,,
540,AMD A8-4555M,4MB,19,1600 ? 2400,4/4,20.8,1876.5,1555,3757,0.44,1.23,,,40.21,20.9,4.21
546,Intel Celeron B840,+ 2MB,35,1900,2/2,,,,,,,,,,,
549,AMD A6-5350M,1MB,35,2900 ? 3500,2/2,24.1,1649,2480.5,3956,0.75,1.24,63.5,117.5,40.86,43.38,8.23
550,AMD A6-5357M,1MB,35,2900 ? 3500,2/2,,,,,,,,,,,
551,Intel Pentium N3540,2MB,8,2160 ? 2660,4/4,22.7,,1363.5,4752,0.5,1.9,42,156.5,21.92,54.34,11.12
552,AMD A6-5200,2MB,25,2000,4/4,22.9,2659.5,1598,5600,0.52,1.9,42,155,26.1,51.7,11.4
553,Intel Pentium N3710,2MB,6,1600 ? 2560,4/4,22.1,2473.5,1323.5,4653,0.49,1.64,41,145.5,23.26,52.79,10.65
554,Intel Atom x7-Z8750,2MB,,1600 ? 2560,4/4,27.7,2426,,,,,38.9,133,24.7,48,10
559,Intel Celeron B830,+ 2MB,35,1800,2/2,,,,,,,,,,,
566,AMD A4-3330MX,2MB,45,2200 ? 2600,2/2,,,,,,,,,,,
567,AMD A4-5150M,1MB,35,2700 ? 3300,2/2,23.2,1881,2446,3589,0.7,1.18,54,105,43,42,8
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
568,AMD A6-4400M,1MB,35,2700 ? 3200,2,24.9,1804,2292,3407,0.8,1.13,,,46.82,38.79,7.59
569,Intel Pentium J2900,2MB,10,2410 ? 2667,4/4,,,,,,,,,,,
570,AMD A4-4300M,1MB,35,2500 ? 3000,2,22.1,1684,1996.5,3144,0.68,1.04,60,93,50.38,36,7.08
571,Qualcomm Snapdragon 821 MSM8996 Pro,1.5MB,,2400,4/4,,,,,,,,,,,
572,Samsung Exynos 7420 Octa,,,2100,8/8,,,,,,,,,,,
573,Qualcomm Snapdragon 820 MSM8996,1.5MB,,2200,4/4,,,,,,,,,,,
574,Nvidia Tegra X1,2.5MB,,2000,8/8,,,,,,,,,,,
575,Intel Pentium N3530,2MB,8,2160 ? 2580,4/4,22.1,,1312.5,4450,0.47,1.82,39,130.5,23.6,53.76,10.86
576,Intel Celeron 1017U,512KB + 2MB,17,1600,2/2,24,1719,2201,4155,0.61,1.3,,,46.39,41.9,7.57
577,Intel Celeron 3205U,512KB + 2MB,15,1500,2/2,,,,,,,,,,,
578,Intel Celeron B820,512KB + 2MB,35,1700,2/2,,,,,,,,,,,
579,Intel Pentium N3700,2MB,6,1600 ? 2400,4/4,20.8,2174.5,1200,3148,0.45,1.71,37,141,23.09,49.74,10.04
582,Intel Pentium J2850,2MB,10,2400,4/4,,,,,,,,,,,
583,Intel Pentium N3520,2MB,8,2167 ? 2420,4/4,21.2,2320,1252,4327.5,0.44,1.76,38,144,28,50.93,10.16
584,Intel Celeron J1900,2MB,10,2000 ? 2420,4/4,,,,,,,,,,,
585,Apple A9,,,1800,2/2,,,,,,,,,,,
586,Intel Atom x7-Z8700,2MB,,1600 ? 2400,4/4,20.8,,1114,3116,0.41,1.26,37.5,116,24.51,50.82,10.28
587,Intel Core i3-4010Y,512KB + 3MB,12,1300,2/4,,,,,,,,,,,
588,AMD E2-9010,,10,2000 ? 2200,2/2,,,,,,,,,,,
589,AMD E2-7110,2MB,12,1800,4/4,21.4,2407,1429,4974,0.45,1.78,37,140,29.2,46.45,10.8
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
590,AMD A4-6210,2MB,15,1800,4/4,21.1,2398,1373.5,4284.5,0.46,1.75,37.5,134.5,34.05,46.74,9.99
591,AMD A6-8500P,1MB,15,1600 ? 3000,2/2,,,,,,,,,,,
592,AMD Pro A6-8500B,1MB,15,1600 ? 3000,2/2,,,,,,,,,,,
593,Qualcomm Snapdragon 810 MSM8994,,,2000,8/8,,,,,,,,,,,
594,Mediatek Helio P25,,,2600,8/8,,,,,,,,,,,
595,Qualcomm Snapdragon 652 MSM8976,,,1800,8/8,,,,,,,,,,,
596,Qualcomm Snapdragon 808 MSM8992,,,2000,6/6,,,,,,,,,,,
597,Qualcomm Snapdragon 650 MSM8956,,,1800,6/6,,,,,,,,,,,
598,Intel Atom x5-Z8550,2MB,,1440 ? 2400,4/4,12.2,,,,,,36,134,,,
599,Intel Atom Z3795,2MB,0,1590 ? 2390,4/4,20.3,2145.5,1234,3715,0.44,1.63,37,131,27.16,42.14,8.31
600,Intel Atom Z3785,2MB,0,1490 ? 2410,4/4,,,,,,,,,,,
601,Intel Atom Z3775,2MB,0,1460 ? 2390,4/4,22.5,2195,1144,4014,0.4,1.49,,,25.47,47,9.5
602,Intel Atom Z3775D,2MB,0,1490 ? 2410,4/4,,,,,,,,,,,
603,Intel Atom Z3770,2MB,0,1460 ? 2400,4/4,26.3,2212,1189,3961,,,,,26.55,40.49,7.65
604,Intel Atom Z3770D,2MB,0,1500 ? 2410,4/4,,,,,,,,,,,
605,Intel Atom x5-Z8500,2MB,,1440 ? 2240,4/4,11.2,1991,1166,3563,0.43,1.32,35.5,106.5,,36.57,7.22
606,Intel Celeron N2940,2MB,8,1830 ? 2250,4/4,20.3,2191,1150,3958,0.42,1.6,35.5,110.5,29.2,46.92,9.36
607,Intel Celeron N3160,2MB,6,1600 ? 2240,4/4,,,,,,,,,,,
608,Intel Celeron 2957U,512KB + 2MB,15,1400,2/2,23.1,,2077,4043,0.62,1.2,55,105,53.49,41.27,7.57
609,Intel Celeron 2955U,512KB + 2MB,15,1400,2/2,23.3,1520,2069,4000,0.61,1.14,,,53.18,40.7,7.52
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
610,Intel Celeron N3350,2MB,6,1100 ? 2400,2/2,20.4,1624,1710,2589,0.6,1.09,46,85,43.85,32.5,6.2
611,Intel Celeron 1007U,512KB + 2MB,17,1500,2/2,13.7,1610,,,0.63,1.21,,,,,
612,Intel Celeron N3150,2MB,6,1600 ? 2080,4/4,19.7,2053,1085,3624,0.41,1.46,32,118,30.11,44.8,8.96
613,Intel Celeron N2930,2MB,8,1830 ? 2160,4/4,20.3,2214,1131.5,3880,0.41,1.57,35,129,27.25,46.95,9.3
615,Intel Celeron J1850,2MB,10,2000,4/4,,,,,,,,,,,
616,Intel Pentium N3510,2MB,8,2000,4/4,21.4,2003.5,1040,3669.5,0.38,1.48,33,123,30,,
618,Intel Celeron B815,+ 2MB,35,1600,2/2,35.1,1645,2093,4029,,,,,44.3,,
619,Intel Celeron B810,+ 2MB,35,1600,2/2,28.2,1633,2091,4079,,1.24,,,44.75,,
623,Intel Celeron N2920,2MB,8,1860 ? 2000,4/4,19.1,1860.5,1030,3530,0.38,1.43,32.5,118.5,31.99,42.07,8.36
630,Intel Core i3-3229Y,512KB + 3MB,13,1400,2/4,22.8,1556,1869.5,3739.5,0.5,1.23,,,41.19,42.99,7.91
643,Intel Core i3-2377M,512KB + 3MB,17,1500,2/4,27.6,1808,1850,4248,0.56,1.44,,,35.99,,
644,Intel Core i3-2375M,512KB + 3MB,17,1500,2/4,25.3,,1978,4432,0.56,1.43,,,37.11,43.9,7.98
648,Intel Core i3-2367M,512KB + 3MB,17,1400,2/4,23.1,1689,1826.5,4107.5,0.55,1.34,,,39.19,40.45,7.42
649,Intel Core i3-2365M,512KB + 3MB,17,1400,2/4,27.3,1659,1826,4044,0.56,1.34,,,36.7,,
650,AMD A4-5100,2MB,15,1550,4/4,,,,,,,,,,,
651,AMD A4-5050,2MB,14,1550,4/4,,,,,,,,,,,
653,AMD A4-5000,2MB,15,1500,4/4,19.6,2038.5,1206.5,4165,0.39,1.48,33,119,38.2,41.31,8.72
654,AMD E2-6110,2MB,15,1500,4/4,,,,,,,,,,,
655,Intel Atom E3845,2MB,10,1910,4/4,,,,,,,,,,,
658,Apple A8X,2MB + 4MB,,1500,3/3,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
659,Nvidia Tegra K1 (Denver),2MB,,2300,2/2,,,,,,,,,,,
660,Mediatek MT8176,,,2100,6/6,,,,,,,,,,,
661,Mediatek MT8173,,,2400,4/4,,,,,,,,,,,
662,Mediatek MT8173C,,,2100,4/4,,,,,,,,,,,
665,AMD A10 Micro-6700T,2MB,5,1200 ? 2200,4/4,12.4,,,,0.55,1.49,,,,,
666,AMD A4-3310MX,2MB,45,2100 ? 2500,2/2,46.1,,,,,1.22,,,41.5,,
667,AMD A4-3320M,2MB,35,2000 ? 2600,2/2,,,,,,,,,,,
668,Mediatek MT6595 Turbo,2MB,,2500,8/8,,,,,,,,,,,
669,Samsung Exynos 5433 Octa,,,1900,8/8,,,,,,,,,,,
670,Apple A8,1MB + 4MB,,1400,2/2,,,,,,,,,,,
671,Nvidia Tegra K1,2MB,,2300,4/4,,,,,,,,,,,
672,Qualcomm Snapdragon 805 APQ8084,2MB,,2700,4/4,,,,,,,,,,,
673,Intel Atom Z3580,2MB,,2330,4/4,,,,,,,,,,,
674,Intel Atom Z3736F,2MB,0,1330 ? 2160,4/4,26.1,,962,2867,,,,,38.01,35.6,6.77
675,Intel Atom Z3736G,2MB,0,1330 ? 2160,4/4,,,,,,,,,,,
676,Intel Atom x5-Z8350,2MB,,1440 ? 1920,4/4,20.9,,929.5,2986.5,0.36,1.18,28.5,95,36.2,,
677,Intel Atom x5-Z8300,2MB,,1440 ? 1840,4/4,17.8,1691,942,2934,0.35,1.17,27,94,36.4,35.7,6.98
682,Intel Pentium 997,512KB + 2MB,17,1600,2/2,,,,,,,,,,,
683,Intel Atom Z3745,2MB,0,1330 ? 1860,4/4,9.6,,941,3229,,,,,,,
684,Intel Atom Z3745D,2MB,0,1330 ? 1830,4/4,10.1,,972,3389,,,,,,38.09,7.26
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
685,Intel Atom Z3740,2MB,0,1330 ? 1860,4/4,32.1,1838,963,3380,,,,,29,,
686,Intel Atom Z3740D,2MB,0,1330 ? 1830,4/4,24.3,1827,963,3222.5,,,,,31.92,31.85,7.8
687,Intel Atom Z3735D,2MB,0,1330 ? 1830,4/4,25.7,,851,2726,,,,,37.16,35.1,6.78
688,Intel Atom Z3735E,2MB,0,1330 ? 1830,4/4,,,,,,,,,,,
689,Intel Atom Z3735F,2MB,0,1330 ? 1830,4/4,19.2,1164,945,2885.5,0.31,0.87,,,35.66,35.9,6.83
690,Intel Atom Z3735G,2MB,0,1330 ? 1830,4/4,23.4,1526,946,2891,,,,,37.53,31.8,6.55
692,Intel Celeron 1047UE,512KB + 2MB,17,1400,2/2,,,,,,,,,,,
693,AMD E2-3800,2MB,15,1300,4/4,20.3,,2295,3575,0.32,1.28,28,103,42.64,35.8,7.5
694,AMD E2-3000M,1MB,35,1800 ? 2400,2/2,13.8,,1597,3014,,,,,,,
696,Intel Pentium 987,512KB + 2MB,17,1500,2/2,32.1,1487,,,0.59,1.13,,,48,,
697,Intel Celeron 887,512KB + 2MB,17,1500,2/2,26.7,1414,1877,3597,0.58,1.14,,,48,,
698,Intel Celeron B800,512KB + 2MB,35,1500,2/2,34,1534,1910,3779,,,,,47,,
699,Intel Core i3-2357M,512KB + 3MB,17,1300,2/4,26.8,1575,1645,3808,,1.16,,,42.34,,
700,AMD E2-9000,,10,1800 ? 2200,2/2,20.8,1556,1787,2897,0.59,1.01,47,84,36.23,35.7,6.3
701,AMD A4-3300M,2MB,35,1900 ? 2500,2/2,27,1556,1741.5,3417,,1.12,,,40.2,,
703,AMD A4-3305M,1MB,35,1900 ? 2500,2/2,26.8,1613.5,1812,3394.5,0.56,1.12,,,40.28,,
710,AMD A6 Pro-7050B,1MB,17,2200 ? 3000,2/2,20.4,1468,1820,2930,0.57,0.98,49.5,81.5,47.99,32.84,6.31
711,AMD A6-7000,1MB,17,2200 ? 3000,2/2,,,,,,,,,,,
715,AMD A6-5345M,1MB,17,2200 ? 2800,2/2,,,,,,,,,,,
717,Intel Celeron J1800,1MB,10,2410 ? 2580,2/2,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
728,Intel Celeron N2840,1MB,8,2160 ? 2580,2/2,11,1510,1331,2533,0.44,0.89,38,76,,,
729,Intel Celeron J1750,1MB,10,2410,2/2,,,,,,,,,,,
730,Intel Celeron N3060,2MB,6,1600 ? 2480,2/2,18.9,,1241.5,2326.5,0.44,0.83,38,71,43.13,28.4,5.45
733,Intel Celeron N2910,2MB,8,1600,4/4,8.8,1612,844,2907,0.3,1.14,27,97,,,
734,AMD A6-1450,2MB,8,1000 ? 1400,4/4,18.9,1439,1064,2860.5,0.34,1.03,,,59.98,29.13,6.04
736,AMD A4 Micro-6400T,2MB,5,1000 ? 1600,4/4,18.6,1664,1251,3380,0.41,1.16,34,95,46.27,33.5,6.9
752,Qualcomm Snapdragon 630,,,2200,8/8,,,,,,,,,,,
753,Qualcomm Snapdragon 626,,,2200,8/8,,,,,,,,,,,
754,Qualcomm Snapdragon 801 MSM8974AC,2MB,,2450,4/4,,,,,,,,,,,
755,AMD A6-4455M,2MB,17,2100 ? 2600,2,21.3,1358.5,1689,2601,0.62,0.86,,,61.8,30.66,5.73
756,AMD A4-5145M,1MB,17,2000 ? 2600,2/2,,,,,,,,,,,
757,AMD A4-4355M,2MB,17,1900 ? 2400,2,24.6,1239,1690,2318,0.52,0.72,,,63.5,,
758,Samsung Exynos 5430 Octa,512KB,,1800,8/8,,,,,,,,,,,
759,Mediatek MT6595,2MB,,2200,8/8,,,,,,,,,,,
760,Intel Celeron N2830,1MB,8,2160 ? 2410,2/2,10.3,,1184.5,2239.5,0.43,0.82,38,67,,,
761,Qualcomm Snapdragon 801 APQ8074AB,2MB,,2360,4/4,,,,,,,,,,,
762,Qualcomm Snapdragon 801 MSM8974AB,2MB,,2360,4/4,,,,,,,,,,,
763,Intel Celeron N2820,1MB,8,2170 ? 2390,2/2,17.6,,1061,2010,0.36,0.69,32.5,58.5,48.5,26.5,5.8
764,Intel Celeron N3050,2MB,6,1600 ? 2160,2/2,17,1243,1099,2064,0.41,0.79,34,62.5,55.2,25.52,4.74
765,Intel Celeron N2815,1MB,8,1860 ? 2133,2/2,17.2,,1068,2038,0.36,0.69,32.5,55.5,57.75,24.1,4.53
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
766,Intel Celeron N3000,2MB,4,1040 ? 2080,2/2,,,,,,,,,,,
767,Intel Celeron N2810,1MB,8,2000,2/2,15.9,1043,993,1474,0.37,0.72,31,59,63.36,22.83,4.26
768,Nvidia Tegra 4,,,1800,4/4,,,,,,,,,,,
769,Intel Atom Z3680,1MB,0,1330 ? 2000,2/2,,,,,,,,,,,
770,Intel Atom Z3680D,1MB,0,1330 ? 2000,2/2,,,,,,,,,,,
791,Mediatek MT6595M,2MB,,2000,8/8,,,,,,,,,,,
792,VIA Nano QuadCore L4700,4MB,28,1200 ? 1460,4/4,12.7,1615,,,,,,,,,
793,Intel Pentium 3561Y,512KB + 2MB,12,1200,2/2,,,,,,,,,,,
794,Intel Pentium 3560Y,512KB + 2MB,12,1200,2/2,0.4,,,,,1.02,,,,,
795,Intel Celeron 2961Y,512KB + 2MB,12,1100,2/2,,,,,,,,,,,
796,Intel Pentium 2129Y,512KB + 2MB,10,1100,2/2,18.9,,1502,2860,0.45,0.88,39,72,71.52,29.27,5.15
797,Qualcomm Snapdragon 801 MSM8974AA,2MB,,2260,4/4,,,,,,,,,,,
798,Qualcomm Snapdragon 625,,,2000,8/8,,,,,,,,,,,
799,HiSilicon Kirin 925,,,1800,8/8,,,,,,,,,,,
800,Qualcomm Snapdragon 800 MSM8974,2MB,,2300,4/4,,,,,,,,,,,
802,Mediatek Helio P20 (LP4) MT6757,,,2300,8/8,,,,,,,,,,,
803,Samsung Exynos 5420 Octa,512KB,,1800,8/8,,,,,,,,,,,
804,HiSilicon Kirin 920,,,1700,8/8,,,,,,,,,,,
809,Samsung Exynos 7880,,,1900,8/8,,,,,,,,,,,
810,HiSilicon Kirin 935,,,2200,8/8,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
811,HiSilicon Kirin 659,,,2360,8/8,,,,,,,,,,,
812,HiSilicon Kirin 658,,,2350,8/8,,,,,,,,,,,
813,Mediatek Helio X10 MT6795,,,2200,8/8,,,,,,,,,,,
814,Mediatek Helio X20 MT6797,,,2300,10/10,,,,,,,,,,,
815,Samsung Exynos 7870 Octa,,,1600,8/8,,,,,,,,,,,
816,HiSilicon Kirin 655,,,2100,8/8,,,,,,,,,,,
817,HiSilicon Kirin 650,,,2000,8/8,,,,,,,,,,,
818,HiSilicon Kirin 930,,,2000,8/8,,,,,,,,,,,
819,Mediatek Helio P10 MT6755,,,2000,8/8,,,,,,,,,,,
820,Intel Pentium 977,512KB + 2MB,17,1400,2/2,31.3,1435,,,0.56,1.08,,,56,,
821,Intel Celeron 877,512KB + 2MB,17,1400,2/2,0.4,,,,,1.07,,,,,
822,Apple A7,1MB + 4MB,,1300,2/2,,,,,,,,,,,
823,Intel Atom Z3570,2MB,,2000,4/4,,,,,,,,,,,
831,Intel Pentium 967,512KB + 2MB,17,1300,2/2,25.4,1319,1640,3038,,0.95,,,58.63,,
832,Intel Celeron 867,512KB + 2MB,17,1300,2/2,,,,,,,,,,,
833,Intel Atom Z3560,2MB,,1830,4/4,,,,,,,,,,,
