Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
"1. Видеокарты класса High-End
Эти карты обеспечивают наивысший возможный для мобильных компьютеров уровень производительности в 3D. Они вполне способны справиться с современными играми при высоком разрешении и выкрученных на максимум настройках графики. Однако в силу того, что данные видеокарты потребляют очень много энергии, они используются только в больших ноутбуках со слабым временем автономной работы.",,,,,,,,,,,,,,,,,,
"Архивные (старые): NVIDIA GeForce GTX 780M SLI (N14E-GTX), AMD Radeon RX 490M (Polaris), AMD Radeon R9 M290X Crossfire (Neptune CF), AMD Radeon HD 8970M Crossfire (Neptune CF), NVIDIA GeForce GTX 680M SLI (N13E-GTX), AMD Radeon HD 7970M Crossfire (Wimbledon XT), NVIDIA GeForce GTX 860M SLI, NVIDIA GeForce GTX 770M SLI, NVIDIA GeForce GTX 680MX, AMD Radeon HD 8970M (Neptune), NVIDIA GeForce GTX 675M SLI (N12E-GTX2), NVIDIA GeForce GTX 765M SLI, NVIDIA GeForce GTX 680M (N13E-GTX), NVIDIA GeForce GTX 775M (N13E-GTX-A2), AMD Radeon HD 7970M (Wimbledon XT), NVIDIA GeForce GTX 670MX SLI (N13E-GR), NVIDIA GeForce GTX 580M SLI (N12E-GTX2), AMD Radeon HD 6990M Crossfire (Blackcomb XTX), NVIDIA GeForce GT 755M SLI (N14P-), NVIDIA GeForce GTX 485M SLI (N11E-GTX-A1), AMD Radeon HD 6970M Crossfire (Blackcomb XT), NVIDIA GeForce GTX 675MX (N13E-GSR), NVIDIA GeForce GT 750M SLI (N14P-GT), AMD Radeon HD 7950M (Wimbledon Pro), NVIDIA GeForce GTX 470M SLI (N11E-GT), NVIDIA GeForce GTX 480M SLI (N11E-GTX-A3), NVIDIA GeForce GTX 560M SLI (N12E-GS), NVIDIA GeForce GTX 675M (N13E-GS1), NVIDIA GeForce GTX 580M (N12E-GTX2), AMD Radeon HD 6990M (Blackcomb XTX), AMD Radeon R9 M385, NVIDIA GeForce GT 650M SLI (N13E-GE), NVIDIA GeForce GTX 460M SLI (N11E-GS), ATI Mobility Radeon HD 5870 Crossfire (Broadway-XT), NVIDIA GeForce GTX 485M (N12E-GTX-A1), NVIDIA GeForce GTX 285M SLI (N10E-GTX), NVIDIA GeForce GTX 670MX (N13E-GR), NVIDIA Quadro 5010M (N12E-Q5), NVIDIA GeForce GTX 670M (N13E-GS1-LP), AMD FirePro M8900 (Blackcomb XT), AMD Radeon HD 6970M (Blackcomb XT), AMD Radeon R9 M270, AMD Radeon HD 8870M, AMD Radeon HD 7870M (Heathrow XT), NVIDIA GeForce GTX 570M (N12E-GT), NVIDIA GeForce GTX 280M SLI (N10E-GTX), AMD Radeon HD 6950M (Blackcomb Pro), NVIDIA GeForce GTX 660M (N13E-GE), AMD Radeon HD 8850M, AMD Radeon R9 M365X, AMD Radeon HD 7850M (Heathrow Pro), AMD Radeon HD 8790M (Mars XTX), ATI Mobility Radeon HD 4870 X2 (M98-XT), NVIDIA Quadro 4000M (Fermi), NVIDIA GeForce GTX 470M (N11E-GT), NVIDIA GeForce GTX 480M (N11E-GTX-A3)",,,,,,,,,,,,,,,,,,
"3. Видеокарты нижне-среднего диапазона
Эти видеокарты класса low-end предназначены для бережливых пользователей, которые, тем не менее, не прочь поиграть в игры. Они позволяют делать это при низкой детализации и среднем разрешении. Сравнительно низкое энергопотребление (современных представителей этого класса) обеспечивает неплохое время автономной работы соответствующих ноутбуков.",,,,,,,,,,,,,,,,,,
217,AMD Radeon R9 M375,GCN,640,,1015,,2200,128,DDR3,12 (FL 11_1),4.3,10.9,,8466,1667,3314,11543,
218,AMD Radeon R7 M445,GCN,320,,920,,2000,64,GDDR5,12,4.5,14.5,126481,9617,1579,2208,12657,
220,AMD Radeon R7 M370,GCN,384,,875,,3600,128,GDDR5,12,4.4,13.1,118746,10364,1760,2524,12983,80.7
221,NVIDIA Quadro M600M,Maxwell,384,,837,876,5012,128,GDDR5,12 (FL 11_0),4.5,18.1,,18491,2430,2911,20563,
224,NVIDIA GeForce 840M,Maxwell,384,,1029,,2000,64,DDR3,12 (FL 11_0),4.5,11.3,119888,8723.5,1573,2338,10332,41
225,AMD Radeon R7 M275DX,GCN,896,,,,,,DDR3,12,,12.5,86346,11160,1931.5,3553,12122,112
226,NVIDIA GeForce GT 745M,Kepler,384,,837,,1800,128,"DDR3, GDDR5",11,,11.7,,10147,1531,2249,13462.5,
229,AMD Radeon R7 (Bristol Ridge),GCN 1.2/2.0,512,,,900,,64/128,,12 (FL 12_0),4.4,7.2,52245.5,5294.5,1013,1852,6644.5,90
231,Intel Iris Pro Graphics 5200,Haswell,40,,200,1300,,eDRAM + 64/128,eDRAM,11.1,4.0,13.4,110085,11930,1380.5,1923,13123,136
233,NVIDIA GeForce GT 740M,Kepler,384,,810,980,1600 - 1800,64/128,DDR3,11,4.3,8.5,,7403,1150.5,1848,9700,112
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
234,AMD Radeon 530,GCN,384,,1024,,2250,64,DDR3/GDDR5,12,4.5,10.4,89027,6321.5,1294.5,2323.5,9517,113.8
235,NVIDIA GeForce 930M,Maxwell,384,,928,941,1800,64,DDR3,12 (FL 11_0),4.5,9.9,,8309,1460.5,2153,11760,114.2
236,Intel Iris Plus Graphics 650,Intel Gen. 9.5 (Kaby Lake),48,,300,1100,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,17.9,161538,13153,1698,2761.5,15175,
237,Intel Iris Graphics 550,Intel Gen. 9 (Skylake),48,,300,1100,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,16.5,139193,12812,1520,2524,15266,205.6
238,NVIDIA GeForce 830M,Maxwell,256,,1029,1150,1800,64,DDR3,12 (FL 11_0),4.4,9.2,,8104.5,1386.5,1961,10222.5,
239,NVIDIA GeForce MX110,Maxwell,256,,965,993,1800,64,GDDR5/DDR3,12,4.5,,,,,,,
240,NVIDIA GeForce 920MX,Maxwell,256,,965,993,1800,64,GDDR5/DDR3,12,4.5,11.1,98596,7733,1282,1791,10781,103.1
243,Intel Iris Plus Graphics 640,Intel Gen. 9.5 (Kaby Lake),48,,300,1050,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,15.6,145481,11248,1393.5,2379,14117.5,171
244,Intel Iris Graphics 540,Intel Gen. 9 (Skylake),48,,300,1050,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,14.8,126078,11327,1448,2211.5,13568.5,183
245,NVIDIA Quadro M500M,Maxwell,384,,1029,1124,4004,64,DDR3,12 (FL 11_0),4.5,13.5,126522,8348,1594.5,2364.5,12377.5,129.5
246,NVIDIA Quadro K2000M,Kepler,384,,745,,1800,128,DDR3,11,4.1,10.1,,8766,1046,1798,11991,
249,NVIDIA GeForce GT 735M,Kepler,384,,575,889,1800 - 2000,64,DDR3,11,,7.6,,6757,1023.5,1713,8527,
251,NVIDIA GeForce 825M,Kepler,384,,850,,1800,64,DDR3,12 (FL 11_0),4.3,8.3,,7416,1150,1756.5,9290,
253,AMD FirePro M4000,GCN,512,,600,,4500,128,GDDR5,11,4.1,12.3,,12587,1713,1981,13930.5,
260,AMD Radeon R7 M260X,GCN,384,,715,,4000,128,GDDR5,12 (FL 11_1),4.3,12,98071,9034,1396,1903,11820,129.1
263,NVIDIA GeForce GT 730M,Kepler,384,,725,,1800 - 2000,64/128,DDR3,11,,9.6,86656,7152,1061,1722,10333,48
266,AMD FirePro M4100,GCN,384,,670,,4000,128,GDDR5,12 (FL 11_1),4.3,7.9,,6297,857,1728,9320,
269,AMD Radeon R7 M270,GCN,384,,825,,1800 - 2000,128,DDR3,12 (FL 11_1),4.3,8.7,,6364.5,1258,1857.5,9791.5,124.83
270,AMD Radeon R7 M265,GCN,384,,825,980,1800 - 2000,64/128,DDR3,12 (FL 11_1),4.3,8.4,,8401.5,1336,1882,8876,
274,NVIDIA GeForce GT 640M,Kepler,384,,625,645,1800 - 4000,128,"DDR3, GDDR5",11,,11,80836,9024,1225,1728,10625.5,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
